Số báo danh,Mã tỉnh,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,Tin học,CN Công nghiệp,CN Nông nghiệp,GD Kinh tế và Pháp luật,Tổng điểm
01000001,HÀ NỘI,5.75,7.75,,,7.75,8.25,,,,,,,29.5
01000002,HÀ NỘI,8.0,8.25,,8.5,6.75,,,,,,,,31.5
01000003,HÀ NỘI,6.75,8.5,,8.75,,,,,,,,,24.0
01000004,HÀ NỘI,5.25,7.5,,6.5,5.5,,,,,,,,24.75
01000005,HÀ NỘI,,7.0,,,,,5.5,6.25,,,,,18.75
01000006,HÀ NỘI,6.5,8.5,,7.25,5.0,,,,,,,,27.25
01000007,HÀ NỘI,6.35,8.0,,,6.25,7.35,,,,,,,27.95
01000008,HÀ NỘI,,6.25,,,,,4.0,4.0,,,,,14.25
01000009,HÀ NỘI,7.5,8.5,,7.75,6.0,,,,,,,,29.75
01000010,HÀ NỘI,,8.75,,,,,8.25,9.0,,,,,26.0